spk_id,scrape_prof,assigned_category,is_assigned
id00437,radio_presenter_at_vtm_be_studio_brussel,Media and TV personalities without acting,1
id00438,model,Actors,1
id00444,television_presenter_businesswoman,Media and TV personalities without acting,1
id00445,actress,Actors,1
id00448,singer,Singers and musicians,1
id00449,santander_group,,0
id00450,actress,Actors,1
id00456,actress,Actors,1
id00457,peruvian_actress_model_dancer,Actors,1
id00458,actor_model,Actors,1
id00459,businessman,Other,1
id00460,broadcast_journalist_social_activist_model_model_carpenter,Actors,1
id00461,actress,Actors,1
id00462,singer,Singers and musicians,1
id00463,former_russian_ballet_dancer,,0
id00464,vj_vj_on_mtv_germany,Media and TV personalities without acting,1
id00465,actress,Actors,1
id00467,norwegian_ski_jumper,Athletes,1
id00468,singer,Singers and musicians,1
id00469,broadcast_journalist_political_commentator,Media and TV personalities without acting,1
id00472,actress_model,Actors,1
id00473,actress_singer,Actors,1
id00475,professional_boxer_who_holds_dual_haitian,Athletes,1
id00476,unk,unk,0
id00478,american_former_professional_boxer_who_competed,Athletes,1
id00479,italian_businessman,Other,1
id00481,power_forward_center_center,Athletes,1
id00482,singer,Singers and musicians,1
id00483,singer,Singers and musicians,1
id00484,musician_singer_actress,Actors,1
id00486,danish_tv_radio_host,Media and TV personalities without acting,1
id00488,actress,Actors,1
id00489,television_presenter,Media and TV personalities without acting,1
id00490,defender_defender,Athletes,1
id00491,journalist,Media and TV personalities without acting,1
id00492,news_anchor,Media and TV personalities without acting,1
id00494,politician,Politicians,1
id00495,actress,Actors,1
id00496,actress,Actors,1
id00498,defender_centre_back_centre_back,Athletes,1
id00500,actress,Actors,1
id00501,colombian_model_tv_presenter_reporter_tv_show_hostess_radio_dj,Actors,1
id00502,political_analyst,,0
id00503,model,Actors,1
id00504,german_politician,Politicians,1
id00505,singer,Singers and musicians,1
id00506,former_german_biathlete,,0
id00507,film_director,Actors,1
id00508,singer,Singers and musicians,1
id00509,broadcast_on_das_erste,,0
id00510,singer,Singers and musicians,1
id00512,professor,Other,1
id00513,german_politician_of_the_christian_social_union_party,Politicians,1
id00514,italian_former_professional_tennis_player,Athletes,1
id00515,professional_tennis_player,Athletes,1
id00516,belarusian_american_professional_mixed_martial_artist,,0
id00517,russian_basketball_executive,Athletes,1
id00518,american_former_professional_basketball_player,Athletes,1
id00519,rlp_pr,,0
id00520,english_television,Media and TV personalities without acting,1
id00521,actor,Actors,1
id00522,composer,Singers and musicians,1
id00524,director,Actors,1
id00525,cricketer,Athletes,1
id00526,wing_wing,,0
id00527,producer,Actors,1
id00528,singer_songwriter,Singers and musicians,1
id00529,musician_singer_songwriter_record_producer_motivational_speaker_actor,Actors,1
id00530,radio_personality,,0
id00531,unk,unk,0
id00534,latvian_conductor,Media and TV personalities without acting,1
id00535,footballer_manager_sports_administrator,Athletes,1
id00539,rapper_singer_songwriter_record_producer_actor,Actors,1
id00542,attacking_midfielder,Athletes,1
id00543,dutch_physician,,0
id00544,composer_arranger_pianist,Singers and musicians,1
id00545,entrepreneur,Other,1
id00546,winger_winger_forward_forward,Athletes,1
id00548,association_football_football_executive,Athletes,1
id00550,mexican_former_professional_footballer_who_played_as_a_midfielder,Athletes,1
id00552,mexican_former_politician_political_scientist,Politicians,1
id00553,argentine_former_professional_basketball_player,Athletes,1
id00554,model,Actors,1
id00555,actress,Actors,1
id00557,singer,Singers and musicians,1
id00558,politician,Politicians,1
id00559,striker_striker,Athletes,1
id00560,actor_singer_film_producer_lyricist_composer_businessman,Actors,1
id00561,head_coach,Athletes,1
id00562,american_former_professional_tennis_player,Athletes,1
id00566,actress_humanitarian,Actors,1
id00567,holly_s_world,,0
id00568,actress,Actors,1
id00569,operatic_soprano,,0
id00570,singer,Singers and musicians,1
id00571,singer,Singers and musicians,1
id00573,model,Actors,1
id00574,journalist_newsreader_writer_presenter,Media and TV personalities without acting,1
id00575,actress,Actors,1
id00577,american_reality_television_series_that_debuted_on_october,Media and TV personalities without acting,1
id00578,american_radio_personality,,0
id00579,actress_model_singer,Actors,1
id00581,actress,Actors,1
id00582,actress_model_host_comedian_vlogger,Actors,1
id00584,german_former_professional_tennis_player,Athletes,1
id00585,pornographic_film_actress,Actors,1
id00586,professional_sri_lankan_cricketer,Athletes,1
id00587,cardinal_cardinal,,0
id00588,singer_songwriter_musician_actress,Actors,1
id00589,actress,Actors,1
id00591,actress,Actors,1
id00592,politician_educator_anti_apartheid_activist,Politicians,1
id00593,singer_songwriter_rapper_actress_record_producer,Actors,1
id00594,actor_comedian_presenter_writer,Actors,1
id00596,singer_actress_activist,Actors,1
id00597,politician,Politicians,1
id00607,polish_hammer_thrower,,0
id00608,actress,Actors,1
id00610,indian_hindi_language_courtroom,,0
id00611,actress,Actors,1
id00612,american_actress_stand_up_comedian,Actors,1
id00613,actress_director,Actors,1
id00614,actress,Actors,1
id00615,german_retired_professional_tennis_player,Athletes,1
id00616,journalist,Media and TV personalities without acting,1
id00617,german_singer,Singers and musicians,1
id00618,actress,Actors,1
id00620,first_woman_to_hold_either_position,,0
id00621,russian_former_professional_tennis_player,Athletes,1
id00622,actress,Actors,1
id00623,italian_politician,Politicians,1
id00624,actress_producer,Actors,1
id00628,actor_film_director_writer_singer_model,Actors,1
id00629,swedish_politician_who_served_as_leader_of_the_opposition,Politicians,1
id00631,actress,Actors,1
id00632,actress,Actors,1
id00633,australian_retired_track_cyclist,,0
id00634,actress_model,Actors,1
id00636,singer_songwriter,Singers and musicians,1
id00637,swedish_professional_golfer_who_plays_on_the_u,Athletes,1
id00638,finnish_singer_songwriter,Singers and musicians,1
id00641,released_on_netflix_on_april,,0
id00642,princess_royal_list_of_titles,Politicians,1
id00643,actress_narrator,Actors,1
id00644,german_film_directed_by_til_schweiger,Actors,1
id00645,journalist_news_presenter_television_presenter,Media and TV personalities without acting,1
id00647,actress_model_television_host_entrepreneur_recording_artist_producer,Actors,1
id00648,actress,Actors,1
id00649,actress,Actors,1
id00650,politician,Politicians,1
id00651,television_presenter,Media and TV personalities without acting,1
id00652,actress,Actors,1
id00653,presenter,Media and TV personalities without acting,1
id00654,french_businesswoman_who_was_ceo_of_areva,Other,1
id00655,musician,Singers and musicians,1
id00656,journalist,Media and TV personalities without acting,1
id00657,french_comedian,Actors,1
id00659,journalist,Media and TV personalities without acting,1
id00663,singer,Singers and musicians,1
id00664,dutch_politician_of_the_people_s_party_for_freedom,Politicians,1
id00665,television_host,Media and TV personalities without acting,1
id00666,actress,Actors,1
id00667,actress,Actors,1
id00668,actress,Actors,1
id00669,dutch_former_speed_skater,,0
id00670,norwegian_youtuber_poker_player,,0
id00672,singer_model,Actors,1
id00673,singer_songwriter_political_activist_philanthropist,Singers and musicians,1
id00674,politician,Politicians,1
id00675,actress,Actors,1
id00676,actress,Actors,1
id00677,german_former_professional_tennis_player,Athletes,1
id00678,television_presenter,Media and TV personalities without acting,1
id00680,american_politician,Politicians,1
id00681,actress,Actors,1
id00685,business_executive,Other,1
id00686,poker_player,,0
id00687,actress,Actors,1
id00690,center_center_power_forward,Athletes,1
id00691,american_lawyer,Other,1
id00692,actor_director_producer_composer,Actors,1
id00693,australian_former_professional_boxer,Athletes,1
id00694,english_professional_wrestler,Athletes,1
id00695,american_professional_mixed_martial_artist,,0
id00696,forward_striker_striker,Athletes,1
id00699,american_politician,Politicians,1
id00700,grandmaster_grandmaster,,0
id00701,american_former_professional_basketball_player,Athletes,1
id00707,actress,Actors,1
id00708,described_as_the_intellectual_anchor_for_the_originalist,Media and TV personalities without acting,1
id00709,actor_impresario_filmmaker,Actors,1
id00710,right_midfielder,Athletes,1
id00711,chef_author_businessman,Other,1
id00712,forward_forward,Athletes,1
id00714,swiss_professional_wrestler,Athletes,1
id00715,italian_professional_football_manager,Athletes,1
id00717,politician,Politicians,1
id00721,italian_football_manager,Athletes,1
id00723,conductor_of_royal_opera_house,Politicians,1
id00724,elected_to_italy_s_chamber_of_deputies,,0
id00725,right_winger,Athletes,1
id00726,singer,Singers and musicians,1
id00727,politician_economist,Politicians,1
id00729,singer,Singers and musicians,1
id00730,indian_actress_politician,Actors,1
id00731,actor,Actors,1
id00732,film_director_film_producer_screenwriter_actor,Actors,1
id00735,actress,Actors,1
id00736,minister,Politicians,1
id00739,actress,Actors,1
id00740,unk,unk,0
id00741,inducted_into_the_international_sports_hall_of_fame_in,,0
id00742,model_actor,Actors,1
id00745,actor_film_producer,Actors,1
id00746,actress_television_personality_youtuber,Actors,1
id00747,actress,Actors,1
id00750,actress,Actors,1
id00752,singer_songwriter_actress,Actors,1
id00753,actress,Actors,1
id00754,german_high_jumper,,0
id00755,founder_of_huffpost_the_huffington_post_founder,,0
id00758,actress,Actors,1
id00759,actress_model,Actors,1
id00760,athlete,Athletes,1
id00761,american_stand_up_comedian_impressionist,Actors,1
id00762,actor,Actors,1
id00763,unk,unk,0
id00765,actress,Actors,1
id00766,defender_defender,Athletes,1
id00769,actor,Actors,1
id00770,theatre_choreographer_director_television_personality_television_judge_former_dancer,Actors,1
id00773,playback_singer_songwriter_voice_over,Actors,1
id00774,scottish_satirist_writer_director_producer,Actors,1
id00775,actor_author,Actors,1
id00776,german_football_manager,Athletes,1
id00777,author,,0
id00778,german_former_biathlete,,0
id00779,former_swiss_ice_hockey_player,Athletes,1
id00780,motivational_speaker_mountaineer_mechanical_engineer,,0
id00781,shooting_guard_small_forward,Athletes,1
id00782,rapper,Singers and musicians,1
id00783,comedian_actor_talk_show_host,Actors,1
id00784,actor,Actors,1
id00785,football_manager,Athletes,1
id00786,actor,Actors,1
id00787,economist,,0
id00788,actor,Actors,1
id00792,polish_mixed_martial_artist,,0
id00794,magic_magician,,0
id00796,actor,Actors,1
id00797,actor_poet,Actors,1
id00799,actor,Actors,1
id00801,striker_striker,Athletes,1
id00802,venezuelan_american_former_professional_baseball_infielder,Athletes,1
id00803,television_personality,Media and TV personalities without acting,1
id00804,singer_songwriter_actress_television_personality,Actors,1
id00805,left_back,Athletes,1
id00806,actress_fashion_designer,Actors,1
id00809,singer_songwriter,Singers and musicians,1
id00810,fashion_designer_businesswoman_actress,Actors,1
id00811,actress,Actors,1
id00812,actress_singer,Actors,1
id00813,figure_skating_figure_skater_television_commentator,Media and TV personalities without acting,1
id00814,full_back_full_back,Athletes,1
id00815,former_indian_cricketer,Athletes,1
id00816,overthrown_by_the_taliban_in,,0
id00817,actor_film_producer_businessman,Actors,1
id00818,actress_filmmaker,Actors,1
id00820,singer_songwriter_model,Actors,1
id00823,actress_comedian_producer,Actors,1
id00824,actress,Actors,1
id00825,flat_list_model_designer_stylist_blogger,Actors,1
id00826,actress,Actors,1
id00827,actor,Actors,1
id00828,film_actress,Actors,1
id00829,american_filmmaker_screenwriter,Actors,1
id00830,vice_president_of_player_development,Politicians,1
id00831,college_basketball_analyst_for_cbs_sports,Athletes,1
id00832,singer,Singers and musicians,1
id00833,actress_producer,Actors,1
id00835,singer_songwriter,Singers and musicians,1
id00841,actress,Actors,1
id00842,actress,Actors,1
id00843,indian_actress_who_works_in_telugu,Actors,1
id00844,actress_model_singer_painter,Actors,1
id00846,lawyer_politician_lobbyist,Politicians,1
id00848,actress,Actors,1
id00851,film_actress,Actors,1
id00852,centre_back,Athletes,1
id00857,actor_singer,Actors,1
id00859,actress,Actors,1
id00860,founder_chairman_of_wipro,Other,1
id00863,politician,Politicians,1
id00865,actress,Actors,1
id00866,actor_comedian_writer_author_producer,Actors,1
id00867,singer,Singers and musicians,1
id00868,center_fielder,Athletes,1
id00869,unk,unk,0
id00875,forward_striker,Athletes,1
id00876,actress_singer,Actors,1
id00879,unk,unk,0
id00880,skateboarder_stunt_performer_television_personality_filmmaker_musician,Actors,1
id00881,musician_singer_songwriter,Singers and musicians,1
id00882,social_worker,,0
id00883,singer_composer_record_producer,Actors,1
id00884,french_model,Actors,1
id00885,model_businesswoman,Actors,1
id00886,actress,Actors,1
id00888,boxer,Athletes,1
id00890,actress,Actors,1
id00891,television_personality,Media and TV personalities without acting,1
id00892,actress,Actors,1
id00893,musician_singer_actress_author,Actors,1
id00894,unk,unk,0
id00895,model,Actors,1
id00897,tennis,Athletes,1
id00898,actress,Actors,1
id00899,large_bear_native_to_eurasia,,0
id00901,former_czech_track,,0
id00902,singer_actress_filmmaker_songwriter,Actors,1
id00903,retired_american_politician,Politicians,1
id00904,point_guard,,0
id00905,actor,Actors,1
id00906,left_fielder,,0
id00907,singer_songwriter,Singers and musicians,1
id00908,actor,Actors,1
id00909,actor,Actors,1
id00910,canadian_ice_hockey_executive_former_player,Athletes,1
id00911,politician,Politicians,1
id00917,striker_striker,Athletes,1
id00918,actor,Actors,1
id00919,german_former_professional_footballer_who_played_as_a_midfielder,Athletes,1
id00920,polish_politician,Politicians,1
id00922,unk,unk,0
id00923,journalist,Media and TV personalities without acting,1
id00924,unk,unk,0
id00925,spanish_professional_golfer_on_the_u,Athletes,1
id00926,actor,Actors,1
id00927,rugby_league_footballer_television_presenter_radio_presenter_actor_singer,Actors,1
id00928,singer_songwriter,Singers and musicians,1
id00929,unk,unk,0
id00930,head_coach,Athletes,1
id00931,deejay_singer_songwriter_actor,Actors,1
id00933,actress,Actors,1
id00934,actress,Actors,1
id00935,actress_television_host_singer_director_writer,Actors,1
id00937,british_actress_who_played_polly_mckenzie_in_the_inbetweeners,Actors,1
id00938,musician,Singers and musicians,1
id00939,actress,Actors,1
id00941,actress,Actors,1
id00942,english_actor,Actors,1
id00943,economist,,0
id00944,author,,0
id00945,actor_comedian_filmmaker,Actors,1
id00946,coach,Athletes,1
id00947,australian_musician,Singers and musicians,1
id00948,actor,Actors,1
id00959,austrian_diplomat,Politicians,1
id00960,television_host,Media and TV personalities without acting,1
id00963,rlp_fe_hb,,0
id00964,actor,Actors,1
id00965,politician,Politicians,1
id00966,goalkeeper_goalkeeper,Athletes,1
id00967,politician,Politicians,1
id00969,actor_screenwriter_director_producer_comedian,Actors,1
id00971,former_ufc_lightweight_champion,Athletes,1
id00974,french_actress_who_appeared_in_more_than_feature_films,Actors,1
id00975,businessman_media_proprietor_art_collector,Other,1
id00976,jurist_lawyer_politician,Politicians,1
id00978,american_former_professional_boxer_who_competed,Athletes,1
id00979,businessman_politician_actor_singer_television_presenter,Actors,1
id00980,trade_unionist,,0
id00981,australian_professional_tennis_player,Athletes,1
id00982,goalkeeper_goalkeeper,Athletes,1
id00983,nicknamed_der_blonde_engel,,0
id00984,german_schlager_singer_tv,Singers and musicians,1
id00985,german_professional_golfer,Athletes,1
id00987,american_stand_up_comedian_actor,Actors,1
id00989,athlete,Athletes,1
id00990,politician,Politicians,1
id00991,singer_songwriter,Singers and musicians,1
id00992,manager,Athletes,1
id00993,list_of_harry_potter_cast_members_who_portrayed,,0
id00994,french_retired_politician_who_served_as_mayor_of_paris,Politicians,1
id00995,french_poker_player,,0
id00996,balloon_ballooning,,0
id00997,director_screenwriter_producer_actor,Actors,1
id00999,centre_back,Athletes,1
id01000,actress,Actors,1
id01001,singer_songwriter_actress,Actors,1
id01002,actress,Actors,1
id01003,actress_comedian,Actors,1
id01004,actress,Actors,1
id01005,actress,Actors,1
id01006,flat_list_entrepreneur_television_personality_philanthropist_author,Media and TV personalities without acting,1
id01007,model,Actors,1
id01008,fashion_design_er,,0
id01010,flat_list_actress_comedian_singer_author,Actors,1
id01011,german_television_presenter,Media and TV personalities without acting,1
id01014,politician,Politicians,1
id01015,president,Politicians,1
id01016,actress,Actors,1
id01017,retired_german_track,,0
id01018,actress,Actors,1
id01021,unk,unk,0
id01023,indian_spiritual_leader_of_the_international_society_for_krishna_consciousness,,0
id01024,associated_with_creation_of_everything_knowledge,,0
id01025,actress_dancer,Actors,1
id01026,actress,Actors,1
id01028,model,Actors,1
id01029,fetish_model,Actors,1
id01030,actress_singer_television_presenter,Actors,1
id01031,actress,Actors,1
id01035,american_professional_wrestler,Athletes,1
id01036,american_television,Media and TV personalities without acting,1
id01037,actress_model_socialite_singer,Actors,1
id01038,politician,Politicians,1
id01039,unk,unk,0
id01040,hedge_fund_manager,Athletes,1
id01041,english_musician_comedian_actor,Actors,1
id01042,coach,Athletes,1
id01043,american_country_music_singer,Singers and musicians,1
id01044,american_billionaire_businessman,Other,1
id01045,musician,Singers and musicians,1
id01047,english_actor_artist_birder_comedian_conservationist_musician_songwriter_television_presenter,Actors,1
id01048,coach,Athletes,1
id01049,american_politician_who_was_the_th_mayor_of_pittsburgh_pennsylvania,Politicians,1
id01050,entrepreneur_author_television_personality,Media and TV personalities without acting,1
id01051,coach,Athletes,1
id01052,politician,Politicians,1
id01053,american_retired_college_football_coach,Athletes,1
id01054,american_basketball_player,Athletes,1
id01056,musician_singer_songwriter_professional_wrestling_promoter_podcaster,Singers and musicians,1
